party,date,climate
150601,199910,0.03770197486535
150032,199910,0.0222752585521081
150061,200906,0.0109890109890109
150026,201110,0.0267379679144385
150301,199505,0.0179372197309417
150301,201310,0.0
150027,201110,0.0292314945780292
150025,200906,0.032258064516129
150025,201110,0.046979865771812
150025,201310,0.0
150202,199505,0.0444444444444444
150028,199910,0.0153061224489795
150201,199505,0.0310509554140127
150024,200906,0.0227272727272727
63321,199603,0.0460048426150121
63321,199810,0.0
63321,200111,0.0150943396226415
63110,200410,0.088235294117647
63110,200711,0.1568627450980392
63110,201008,0.0962009803921568
63110,201309,0.1927083333333333
63110,201607,0.1937842778793418
63110,201905,0.1465968586387434
63110,202205,0.1883821932681867
63320,199003,0.008714596949891
63320,199303,0.0223752151462994
63320,199603,0.0260999254287844
63320,199810,0.0
63320,200111,0.0176211453744493
63320,200410,0.021680216802168
63320,200711,0.0692041522491349
63320,201008,0.089605734767025
63320,201309,0.0584905660377358
63320,201607,0.0406026088554106
63320,201905,0.1020077720207253
63320,202205,0.0904806786050895
63621,201008,0.0757575757575757
63621,201309,0.0792207792207792
63621,201607,0.064516129032258
63621,201905,0.0628823097626621
63621,202205,0.0815223916436547
63620,199003,0.009090909090909
63620,199303,0.0179028132992327
63620,199810,0.0437956204379562
63620,200111,0.006060606060606
63620,200410,0.0061162079510703
63620,200711,0.0227272727272727
63620,201008,0.0757575757575757
63620,201309,0.0791180285343709
63620,201607,0.064516129032258
63620,201905,0.0628823097626621
63620,202205,0.0815223916436547
63810,199003,0.0190930787589498
63810,199303,0.102803738317757
63810,199810,0.0437956204379562
63810,200111,0.0112359550561797
63810,200410,0.0
63810,200711,0.2178217821782178
63410,201309,0.0166666666666666
42710,200610,0.0231729055258467
42710,200809,0.1357702349869451
42220,200809,0.0204081632653061
42420,199010,0.0281481481481481
42420,199410,0.0039840637450199
42420,199910,0.0168471720818291
42420,200211,0.0347896440129449
42420,200610,0.0773993808049535
42420,200809,0.0317460317460317
42420,201309,0.0
42420,201710,0.0442477876106194
42420,201909,0.0730593607305936
42520,199010,0.0761670761670761
42520,199410,0.025949953660797
42520,199512,0.015625
42520,199910,0.022883295194508
42520,200211,0.0328293736501079
42520,200610,0.0675600223338916
42520,200809,0.0114942528735632
42520,201309,0.0680497925311203
42520,201710,0.0425677995193958
42520,201909,0.0348189415041782
42320,199010,0.0672782874617737
42320,199410,0.0372250423011844
42320,199512,0.0464135021097046
42320,199910,0.0332187857961053
42320,200211,0.0341013824884792
42320,200610,0.0314735336194563
42320,200809,0.0424978317432784
42320,201309,0.0245901639344262
42320,201710,0.0470039468963042
42320,201909,0.068931560807484
42420,199512,0.0609756097560975
42421,199410,0.0071428571428571
42421,199512,0.0068027210884353
42120,201710,0.0
42951,201309,0.0226354082457558
42110,199410,0.2721804511278195
42110,199512,0.0672268907563025
42110,199910,0.0615058324496288
42110,200211,0.0395634379263301
42110,200610,0.0694444444444444
42110,200809,0.0959119496855346
42110,201309,0.0776900706273369
42110,201710,0.1210720887245841
42110,201909,0.172459304883414
42430,201309,0.0784688995215311
42430,201710,0.0073529411764705
42430,201909,0.0588737201365187
21521,199906,0.0090361445783132
21521,200305,0.0170480035890533
21521,200706,0.0557332115121059
21521,201006,0.0594302554027504
21521,201405,0.0655299917830731
21521,201905,0.0660775256075517
21521,199111,0.021505376344086
21521,199505,0.0139860139860139
21914,199111,0.0025773195876288
21914,199505,0.011456628477905
21914,199906,0.0110379961791551
21914,200305,0.0134014039566049
21917,200706,0.0207688908528502
21917,201006,0.0919881305637982
21917,201405,0.0340760157273918
21917,201905,0.0318805488297013
21421,199505,0.0141509433962264
21421,199906,0.0162481536189069
21421,200305,0.0275590551181102
21321,199111,0.033050333535476
21321,199505,0.0336927223719676
21321,199906,0.0419580419580419
21112,200706,0.1279806821611832
21112,201006,0.1165489404641776
21112,201405,0.0973747905417985
21112,201905,0.1005661005661005
21430,200706,0.1182432432432432
21430,201006,0.073170731707317
21112,199111,0.062200956937799
21112,199906,0.06187624750499
21112,200305,0.0826530612244898
21916,200706,0.0405797101449275
21916,201006,0.0478645066273932
21916,201405,0.040922619047619
21916,201905,0.0495926319518243
21421,200706,0.0232323232323232
21421,201006,0.0408035153797865
21421,201405,0.0485996705107084
21421,201905,0.0677083333333333
21913,199111,0.0336134453781512
21913,199505,0.0188784008883953
21915,199906,0.0204603580562659
21330,200706,0.0495540138751238
21321,200706,0.0256410256410256
21321,201006,0.0870511425462459
21321,201405,0.0505778177997898
21321,201905,0.0904064141553773
21221,200706,0.0785340314136125
21230,201405,0.0946887767363614
21230,201905,0.0840974212034384
21522,199111,0.0142602495543672
21522,199505,0.0075949367088607
21522,199906,0.0416666666666666
21912,201905,0.0264462809917355
21111,199111,0.0611814345991561
21111,200305,0.00625
21111,200706,0.0880303989867004
21111,201006,0.0648090169067
21111,201905,0.075419952005485
21912,199111,0.0097932535364526
21912,201405,0.024945295404814
21322,199111,0.0318754633061527
21322,199505,0.0241411327762302
21322,199906,0.0218818380743982
21322,200305,0.0192625206384149
21322,200706,0.0338487254492269
21322,201006,0.0452306314375279
21322,201405,0.0407495538370017
21322,201905,0.0436142979046174
21522,200305,0.0184331797235023
21522,200706,0.036475981662348
21522,201006,0.0340156088941245
21522,201405,0.0305333333333333
21522,201905,0.0631229235880398
21422,199111,0.0099009900990099
21423,199505,0.0086455331412103
21425,199906,0.0075784915193071
21710,201405,0.0419354838709677
21426,200706,0.0367904111869485
21426,201006,0.0341552511415525
21426,201405,0.0354585748380497
21426,201905,0.0487654320987654
151540,201410,0.128526645768025
151640,201410,0.0544993662864385
151250,200912,0.1468604047742605
151250,201410,0.0967184801381692
151640,200912,0.128680479825518
151062,200912,0.0
180230,199410,0.0433708482020312
180620,201810,0.046816479400749
180310,201010,0.0677691309987029
180311,202210,0.058080808080808
180230,202210,0.0586854460093896
180310,201410,0.0724971231300345
180310,200210,0.0317919075144508
180230,200210,0.0546153846153846
180310,200610,0.0431614349775784
180230,200610,0.0542372881355932
180230,201010,0.0492957746478873
180620,202210,0.0629194630872483
180310,199810,0.0351771603364771
180110,201010,0.2222222222222222
180240,200210,0.0431109185441941
180320,200210,0.0135746606334841
180231,200610,0.0214285714285714
180310,199410,0.0464166357222428
180710,199410,0.1108286731062531
180232,199810,0.0328947368421052
180251,201810,0.0326086956521739
180230,201810,0.0602409638554216
180310,201810,0.0581597222222222
180230,199810,0.0
180240,201410,0.0526577247888723
180230,201410,0.0723104056437389
80330,201410,0.0952380952380952
80221,201703,0.0482456140350877
80221,201410,0.0568181818181818
80630,201410,0.0330788804071246
80220,201305,0.0486111111111111
80510,200907,0.0692640692640692
80510,201305,0.0698198198198198
80510,201410,0.0943661971830985
80510,201703,0.0555555555555555
80221,200907,0.0458715596330275
80951,199412,0.0
80951,200907,0.0
80951,201305,0.0516129032258064
80951,201703,0.0094339622641509
80710,200907,0.0223880597014925
80710,201305,0.0374579124579124
80710,201410,0.074074074074074
80062,201410,0.0602409638554216
80061,201410,0.0988142292490118
80071,201703,0.0
80640,201703,0.0763636363636363
80811,199412,0.036697247706422
80410,199412,0.0212765957446808
62622,200011,0.0213776722090261
62623,200406,0.0394736842105263
62623,200601,0.0247787610619469
62623,200810,0.08125
62623,201510,0.0290482076637824
62623,201910,0.1117145073700543
62110,200810,0.1807838179519595
62110,201910,0.1694178974804517
62420,199310,0.0561797752808988
62420,199706,0.0289106866288074
62420,200011,0.0519480519480519
62420,200406,0.0452054794520547
62420,200601,0.0616907844630616
62420,200810,0.4049382716049383
62420,201510,0.0411361410381978
62420,201910,0.0847628657921291
62320,199706,0.0204429301533219
62320,200011,0.0418848167539267
62320,200406,0.1092715231788079
62320,200601,0.0704022988505747
62320,200810,0.1098191214470284
62320,201510,0.0574488802336903
62320,201910,0.0898598516075845
62620,199706,0.0082742316784869
62620,200011,0.045662100456621
62901,199706,0.006514657980456
62621,199706,0.0
62623,201105,0.0429906542056074
62420,201105,0.0992282249173098
62320,201105,0.1054216867469879
62620,199310,0.0
62901,200011,0.0453283996299722
62901,200406,0.0573961735884274
62901,200601,0.063368349711962
62901,200810,0.0929621848739495
62901,201105,0.0891692040017398
62901,201910,0.1263736263736263
155061,201311,0.0233602875112309
155026,201711,0.0274483970136144
155061,201711,0.0152173913043478
155501,201711,0.0464296209227152
155061,200912,0.0389354361754558
155021,199312,0.0103931314957071
155021,200512,0.0281837160751565
155021,200912,0.060576923076923
155024,201311,0.0513780197346036
155601,200512,0.0
155602,200512,0.0174912543728135
155021,201711,0.03875
155021,201311,0.0362017804154302
155025,200512,0.0427350427350427
155061,199312,0.0175029171528588
152424,200605,0.0
152321,200605,0.0
